epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,404.481,0.95385,0.44572,0.00248,0.91219,0.83926,0.83676,0.60676,1.40663,0.68128,0.00448,0.000627292,0.000627292,0.000627292
65,409.498,0.92069,0.43595,0.00232,0.91093,0.82,0.83783,0.5935,1.43978,0.69476,0.00458,0.000610789,0.000610789,0.000610789
66,413.975,0.90884,0.42471,0.00221,0.90638,0.84,0.83271,0.58849,1.43172,0.65643,0.00458,0.000594286,0.000594286,0.000594286
67,418.305,0.91384,0.446,0.00223,0.81111,0.86,0.81433,0.55371,1.46946,0.64383,0.00464,0.000577782,0.000577782,0.000577782
68,423.37,0.86238,0.42989,0.00213,0.65596,0.88,0.76941,0.51865,1.4152,0.65575,0.00444,0.000561279,0.000561279,0.000561279
69,428.104,1.02917,0.4925,0.00265,0.78786,0.68,0.72327,0.48205,1.36313,0.65665,0.0043,0.000544776,0.000544776,0.000544776
70,432.539,0.94607,0.46525,0.00224,0.78671,0.66,0.72179,0.49415,1.31379,0.6702,0.00413,0.000528272,0.000528272,0.000528272
71,437.201,0.97527,0.43188,0.00208,0.7851,0.68,0.72327,0.49739,1.3004,0.64906,0.00409,0.000511769,0.000511769,0.000511769
72,442.226,0.90511,0.43317,0.00207,0.75179,0.94739,0.85026,0.52925,1.28911,0.618,0.00405,0.000495266,0.000495266,0.000495266
73,446.582,0.95289,0.43879,0.00194,0.78475,0.88726,0.86739,0.51785,1.25744,0.60427,0.00399,0.000478762,0.000478762,0.000478762
74,451.239,0.85907,0.39394,0.00196,0.79881,0.88,0.85616,0.53615,1.20588,0.56762,0.00385,0.000462259,0.000462259,0.000462259
75,456.339,0.86912,0.3994,0.00204,0.72304,0.86184,0.81775,0.53001,1.2049,0.60468,0.0038,0.000445756,0.000445756,0.000445756
76,460.878,0.85608,0.40509,0.00185,0.75191,0.85859,0.82009,0.52277,1.20023,0.63268,0.0038,0.000429253,0.000429253,0.000429253
77,465.452,0.87321,0.35612,0.00194,0.81354,0.76,0.8072,0.52572,1.18776,0.66251,0.00379,0.000412749,0.000412749,0.000412749
78,470.696,0.84518,0.39484,0.00185,0.82085,0.7566,0.80636,0.51723,1.21294,0.65205,0.00382,0.000396246,0.000396246,0.000396246
79,475.044,0.847,0.39815,0.00204,0.81332,0.75965,0.80082,0.51762,1.24059,0.62275,0.00388,0.000379743,0.000379743,0.000379743
80,479.602,0.95619,0.45386,0.00247,0.82373,0.78,0.79553,0.52235,1.24753,0.6266,0.00392,0.000363239,0.000363239,0.000363239
81,484.867,0.98312,0.44044,0.00237,0.82179,0.78,0.80026,0.51767,1.25716,0.63344,0.00401,0.000346736,0.000346736,0.000346736
82,489.301,0.86573,0.36315,0.00215,0.81898,0.78,0.81526,0.52876,1.29219,0.67368,0.00411,0.000330233,0.000330233,0.000330233
83,493.934,0.87137,0.40312,0.00194,0.80416,0.78,0.81412,0.51958,1.28715,0.65694,0.00415,0.000313729,0.000313729,0.000313729
84,499.18,0.8132,0.37064,0.00182,0.7867,0.78,0.78095,0.53853,1.29874,0.65735,0.00417,0.000297226,0.000297226,0.000297226
85,503.576,0.96443,0.42678,0.00239,0.78175,0.78,0.7834,0.53309,1.27212,0.65266,0.00409,0.000280723,0.000280723,0.000280723
86,508.034,0.86188,0.35774,0.00189,0.77396,0.78,0.7826,0.54514,1.23505,0.64816,0.00395,0.00026422,0.00026422,0.00026422
87,513.192,0.84679,0.3537,0.00202,0.78313,0.77933,0.78647,0.55516,1.20796,0.63735,0.00386,0.000247716,0.000247716,0.000247716
88,517.671,0.86745,0.3381,0.00193,0.802,0.77013,0.79522,0.56657,1.22003,0.6231,0.00389,0.000231213,0.000231213,0.000231213
89,522.09,0.82538,0.42466,0.00224,0.8067,0.77021,0.80316,0.56692,1.24037,0.62445,0.00398,0.00021471,0.00021471,0.00021471
90,526.757,0.80232,0.31736,0.00177,0.82002,0.76639,0.80281,0.58209,1.27341,0.62049,0.0041,0.000198206,0.000198206,0.000198206
91,534.223,0.81955,0.34389,0.00223,0.81365,0.75943,0.80385,0.57959,1.2728,0.64858,0.00408,0.000181703,0.000181703,0.000181703
92,539.611,0.75693,0.33541,0.00197,0.82008,0.77029,0.80354,0.58612,1.28543,0.63663,0.00407,0.0001652,0.0001652,0.0001652
93,544.882,0.77458,0.36911,0.00209,0.82224,0.76869,0.79354,0.56449,1.27143,0.64027,0.00403,0.000148696,0.000148696,0.000148696
94,549.297,0.73948,0.33875,0.00188,0.81609,0.76392,0.79354,0.56234,1.26285,0.65069,0.004,0.000132193,0.000132193,0.000132193
95,553.746,0.69266,0.30498,0.00188,0.79894,0.7682,0.80307,0.56576,1.24525,0.65468,0.00398,0.00011569,0.00011569,0.00011569
96,559.073,0.73646,0.32079,0.00187,0.79131,0.77313,0.80307,0.56854,1.24638,0.64935,0.00397,9.91865e-05,9.91865e-05,9.91865e-05
97,563.537,0.697,0.28559,0.00181,0.79208,0.77329,0.80307,0.56685,1.2498,0.64951,0.00396,8.26832e-05,8.26832e-05,8.26832e-05
98,567.927,0.70867,0.33947,0.00207,0.80092,0.82209,0.8014,0.56698,1.25424,0.65384,0.00394,6.61799e-05,6.61799e-05,6.61799e-05
99,572.979,0.70459,0.29082,0.00185,0.80035,0.822,0.8022,0.57033,1.2444,0.6588,0.00392,4.96766e-05,4.96766e-05,4.96766e-05
100,577.436,0.71389,0.35064,0.002,0.80031,0.82379,0.8022,0.5708,1.23458,0.65699,0.00391,3.31733e-05,3.31733e-05,3.31733e-05
